contradiction	0	0	1	0	0	32050c				
entailment	0	0	1	0	0	254941e				
contradiction	0	0	1	0	0	116998c				
contradiction	0	0	1	1	1	92994c				savoir
contradiction	0	0	1	0	0	110586c				
contradiction	0	0	1	0	0	108866c				
contradiction	0	0	1	0	0	81373c				
contradiction	0	0	1	0	0	123020c				
contradiction	0	0	1	0	0	136850c				
contradiction	0	0	1	0	0	107123c				
entailment	0	0	1	1	1	158536e				être
entailment	0	0	1	0	2	259381e				
entailment	0	0	1	0	0	251971e				
entailment	0	0	1	0	0	258295e				
contradiction	0	0	1	0	0	50862c				
entailment	0	0	1	0	0	287813e				
contradiction	0	0	1	0	0	19910c				
contradiction	0	0	1	0	1	135333c				
entailment	0	0	1	0	0	285908e				
entailment	0	0	1	0	0	223693e				
contradiction	0	0	1	0	0	348621n				
entailment	0	0	1	0	0	215401e				
entailment	0	0	1	0	0	161388e				
entailment	0	0	1	0	0	277396e				
entailment	0	0	1	0	0	191740e				
contradiction	0	0	1	0	0	132009c				
contradiction	1	0	1	0	1	75069c	laisser	tenir		
entailment	0	0	1	0	1	389288n				
contradiction	0	0	1	0	0	23658c				
contradiction	0	0	1	1	1	111675c				payer
contradiction	0	0	1	0	0	111409c				
entailment	0	0	1	0	0	216970e				
entailment	0	0	1	0	0	259739e				
entailment	0	0	1	0	0	165229e				
entailment	0	0	1	0	0	237449e				
contradiction	0	0	1	1	1	4794c				voir
entailment	0	0	1	0	0	152926e				
contradiction	0	0	1	0	0	112577c				
entailment	0	0	1	0	0	213725e				
contradiction	0	0	1	0	0	21233c				
contradiction	0	0	1	0	0	84712c				
entailment	0	0	1	0	0	382715n				
contradiction	0	0	1	0	0	55135c				
contradiction	0	0	1	0	0	64880c				
entailment	0	0	1	0	0	161963e				
contradiction	0	0	1	0	0	128039c				
entailment	0	0	1	0	0	181265e				
entailment	0	0	1	0	0	153740e				
contradiction	0	0	1	1	1	1860c				regarder
entailment	1	0	1	0	0	318505n	prendre	donner		
contradiction	0	0	1	0	0	82081c				
contradiction	0	0	1	0	0	24406c				
contradiction	0	0	1	0	0	25195c				
entailment	0	0	1	0	0	254970e				
contradiction	0	0	1	0	1	106546c				
contradiction	0	0	1	0	1	39873c				
entailment	0	0	1	0	0	374004n				
entailment	1	0	1	0	0	277703e	entourer	disperser		
contradiction	0	0	1	1	1	92030c				être
contradiction	0	0	1	0	1	49488c				
entailment	0	0	1	0	0	437587n				
entailment	0	0	1	0	0	253923e				
entailment	0	0	1	0	0	190651e				
contradiction	0	0	1	0	0	88596c				
entailment	0	0	1	0	0	267261e				
entailment	0	0	1	0	0	278315e				
entailment	1	0	1	0	0	282363e	partir	faire		
entailment	0	0	1	0	0	346828n				
entailment	0	0	1	0	0	240161e				
entailment	0	0	1	0	0	270741e				
entailment	0	0	1	0	1	176511e				
entailment	0	0	1	0	0	198325e				
entailment	0	0	1	0	0	286358e				
entailment	0	0	1	0	0	173739e				
contradiction	0	0	1	0	1	47848c				
contradiction	0	0	1	0	0	133654c				
contradiction	0	0	1	0	0	52181c				
entailment	0	0	1	0	1	230189e				
entailment	0	0	1	0	0	271994e				
entailment	0	0	1	0	0	276342e				
entailment	1	0	1	0	0	320016n	être	arrêter		
entailment	0	0	1	0	0	196252e				
entailment	0	0	1	0	0	158824e				
entailment	0	0	1	0	0	204847e				
entailment	0	0	1	0	0	151588e				
entailment	0	0	1	0	0	237321e				
entailment	0	0	1	0	0	285534e				
entailment	0	0	1	0	0	214585e				
contradiction	0	0	1	0	0	53743c				
entailment	0	0	1	0	0	158876e				
contradiction	0	0	1	0	0	82613c				
entailment	0	0	1	0	0	255215e				
entailment	0	0	1	1	1	256310e				connaître
entailment	0	0	1	0	0	170432e				
entailment	0	0	1	0	0	200569e				
contradiction	0	0	1	0	0	136548c				
contradiction	0	0	1	0	0	11804c				
entailment	0	0	1	0	0	258042e				
entailment	0	0	1	0	0	409895n				
entailment	0	0	1	0	0	314044n				
contradiction	0	0	1	0	1	24083c				
entailment	0	0	1	0	0	284735e				
entailment	0	0	1	0	0	267778e				
contradiction	0	0	1	0	0	14597c				
entailment	0	0	1	0	0	171847e				
contradiction	0	0	1	0	0	132315c				
contradiction	0	0	1	0	0	21906c				
entailment	0	0	1	0	0	262039e				
entailment	0	0	1	0	0	150311e				
entailment	0	0	1	0	0	270633e				
entailment	0	0	1	0	0	419023n				
entailment	0	0	1	0	0	419840n				
entailment	0	0	1	0	0	163076e				
contradiction	0	0	1	0	0	83396c				
contradiction	0	0	1	0	0	120829c				
entailment	0	0	1	0	0	235417e				
contradiction	0	0	1	0	0	130043c				
contradiction	0	0	1	0	0	117804c				
entailment	0	0	1	0	1	272953e				
contradiction	0	0	1	0	1	64664c				
contradiction	0	0	1	1	1	39927c				avoir
contradiction	0	0	1	0	0	23507c				
contradiction	0	0	1	0	0	78507c				
entailment	0	0	1	0	1	162171e				
entailment	0	0	1	0	1	235626e				
contradiction	0	0	1	0	0	3208c				
contradiction	0	0	1	0	0	111312c				
entailment	0	0	1	0	0	237503e				
entailment	0	0	1	0	0	238105e				
entailment	0	0	1	0	0	287506e				
contradiction	0	0	1	0	0	25494c				
entailment	0	0	1	0	0	227772e				
entailment	0	0	1	0	0	194886e				
contradiction	0	0	1	0	0	103869c				
entailment	0	0	1	0	0	229894e				
contradiction	0	0	1	1	1	47597c				percevoir
entailment	0	0	1	0	0	282750e				
entailment	0	0	1	0	0	409902n				
contradiction	0	0	1	0	2	23415c				
entailment	0	0	1	0	0	282754e				
entailment	0	0	1	0	0	192250e				
entailment	0	0	1	0	0	339947n				
entailment	0	0	1	0	0	150780e				
entailment	0	0	1	0	0	215921e				
